step,epoch,metric,value,run_name,run_label,run_id
1,0,grpo/speed/step_time_sec,38.2139669470489,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
2,0,grpo/speed/step_time_sec,36.92057590559125,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
3,0,grpo/speed/step_time_sec,37.585441909730434,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
4,0,grpo/speed/step_time_sec,36.706888776272535,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
5,0,grpo/speed/step_time_sec,36.88653023727238,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
6,0,grpo/speed/step_time_sec,37.012764893472195,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
7,0,grpo/speed/step_time_sec,36.40490362048149,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
8,0,grpo/speed/step_time_sec,36.87022992409766,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
9,0,grpo/speed/step_time_sec,37.00118228234351,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
10,0,grpo/speed/step_time_sec,36.79077389650047,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
11,0,grpo/speed/step_time_sec,36.727368876338005,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
12,0,grpo/speed/step_time_sec,36.8154612518847,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
13,0,grpo/speed/step_time_sec,37.084133360534906,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
14,0,grpo/speed/step_time_sec,36.57918894290924,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
15,0,grpo/speed/step_time_sec,36.401301769539714,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
16,0,grpo/speed/step_time_sec,36.76217052154243,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
17,0,grpo/speed/step_time_sec,35.51305946521461,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
18,0,grpo/speed/step_time_sec,35.64178809337318,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
19,0,grpo/speed/step_time_sec,33.54064404964447,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
20,0,grpo/speed/step_time_sec,35.706721445545554,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
21,0,grpo/speed/step_time_sec,34.54130160994828,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
22,0,grpo/speed/step_time_sec,35.481874007731676,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
23,0,grpo/speed/step_time_sec,35.22426148504019,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
24,0,grpo/speed/step_time_sec,34.824663856998086,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
25,0,grpo/speed/step_time_sec,34.687206871807575,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
26,0,grpo/speed/step_time_sec,34.633801670745015,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
27,0,grpo/speed/step_time_sec,33.67723518796265,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
28,0,grpo/speed/step_time_sec,36.3500862121582,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
29,0,grpo/speed/step_time_sec,35.69803495332599,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
30,0,grpo/speed/step_time_sec,34.87918315641582,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
31,0,grpo/speed/step_time_sec,35.41846235282719,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
32,0,grpo/speed/step_time_sec,36.15311952121556,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
33,0,grpo/speed/step_time_sec,34.51329081505537,grpo_vllm_colocate_3epoch_grpo,vLLM colocate,hdt2gk51
