step,epoch,metric,value,run_name,run_label,run_key,run_id
1,0,grpo/train/reward,0.25,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
2,0,grpo/train/reward,0.012500000186264515,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
3,0,grpo/train/reward,0.75,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
4,0,grpo/train/reward,0.26249998807907104,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
5,0,grpo/train/reward,0.75,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
6,0,grpo/train/reward,0.75,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
7,0,grpo/train/reward,0.512499988079071,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
8,0,grpo/train/reward,0.0,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
9,0,grpo/train/reward,0.25,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
10,0,grpo/train/reward,0.75,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
11,0,grpo/train/reward,0.762499988079071,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
12,0,grpo/train/reward,0.762499988079071,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
13,0,grpo/train/reward,0.512499988079071,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
14,0,grpo/train/reward,0.25,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
15,0,grpo/train/reward,0.512499988079071,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
16,0,grpo/train/reward,1.0125000476837158,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
17,0,grpo/train/reward,0.2749999761581421,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
18,0,grpo/train/reward,0.762499988079071,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
19,0,grpo/train/reward,0.2749999761581421,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
20,0,grpo/train/reward,0.5,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
21,0,grpo/train/reward,0.762499988079071,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
22,0,grpo/train/reward,0.762499988079071,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
23,0,grpo/train/reward,1.024999976158142,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
24,0,grpo/train/reward,1.0,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
25,0,grpo/train/reward,0.012500000186264515,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
26,0,grpo/train/reward,0.762499988079071,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
27,0,grpo/train/reward,0.75,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
28,0,grpo/train/reward,1.024999976158142,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
29,0,grpo/train/reward,0.512499988079071,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
30,0,grpo/train/reward,0.5,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
31,0,grpo/train/reward,0.5249999761581421,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
32,0,grpo/train/reward,0.2874999940395355,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
33,0,grpo/train/reward,1.024999976158142,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
34,0,grpo/train/reward,0.7999999523162842,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
35,0,grpo/train/reward,0.5374999642372131,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
36,0,grpo/train/reward,1.0374999046325684,grpo_hf_3epoch_grpo,"HF, GRPO loss",hf_grpo,gxjdrypi
